                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.77661,                0.90134,                 1.1683,                0.43095,                0.40361,                0.35511,                0.19408,                 1.5545,                 2.0128,                 2.0154,             0.00066506,             0.00066506,             0.00066506
                     57,                0.76637,                0.86901,                 1.1532,                0.38967,                0.48521,                0.37286,                0.22094,                 1.5388,                 1.8251,                 1.9873,             0.00065091,             0.00065091,             0.00065091
                     58,                0.73567,                0.83875,                 1.1364,                0.37363,                0.46463,                0.34669,                0.20228,                 1.5752,                 1.8485,                 2.0333,             0.00063676,             0.00063676,             0.00063676
                     59,                0.74912,                0.82981,                 1.1544,                0.38321,                0.39601,                0.35814,                0.21028,                 1.5583,                 1.8728,                 2.0294,             0.00062262,             0.00062262,             0.00062262
                     60,                0.77424,                0.84248,                 1.1746,                0.43167,                0.45672,                0.37411,                0.21598,                 1.5936,                 1.7865,                 2.0267,             0.00060847,             0.00060847,             0.00060847
                     61,                0.72553,                0.77749,                  1.122,                 0.4699,                0.37064,                0.36895,                0.21918,                 1.5584,                 1.7957,                 1.9916,             0.00059432,             0.00059432,             0.00059432
                     62,                0.73031,                0.77636,                 1.1453,                0.41989,                0.47032,                0.36598,                0.21376,                 1.5654,                 1.9074,                 2.0264,             0.00058017,             0.00058017,             0.00058017
                     63,                0.71179,                0.78147,                 1.1259,                0.38536,                0.49067,                0.35099,                0.21096,                  1.552,                 1.9664,                 2.0284,             0.00056603,             0.00056603,             0.00056603
                     64,                0.71283,                0.81425,                 1.1314,                 0.4324,                0.42154,                 0.3879,                0.22806,                  1.512,                 1.7695,                 1.9803,             0.00055188,             0.00055188,             0.00055188
                     65,                0.71982,                0.80718,                 1.1368,                0.41846,                0.41652,                0.38278,                0.22556,                  1.571,                 1.8734,                 2.0435,             0.00053773,             0.00053773,             0.00053773
